name,address
Whampoa Makan Place Block 90,90 Whampoa Drive
Redhill Lane Block 85 Food Centre,85 Redhill Lane
Amoy Street Food Centre,7 Maxwell Road
Tiong Bahru Market,30 Seng Poh Road
Alexandra Village Food Centre,120 Bukit Merah Lane 1
Hong Lim Market & Food Centre,531A Upper Cross Street
Chinatown Complex Market & Food Centre,335 Smith Street
Old Airport Road Food Centre,51 Old Airport Road
Golden Mile Food Centre,505 Beach Road
Holland Drive Market & Food Centre,44 Holland Drive
Albert Centre Market & Food Centre,270 Queen Street
