name,address,unit,hawkercenter,No of review
Tong Fong Fatt Hainanese Boneless Chicken Rice ,90 Whampoa Drive,#01-35 ,Whampoa Makan Place Block 90,6
Nan Xiang Chicken Rice ,90 Whampoa Drive,#01-21 ,Whampoa Makan Place Block 90,36
Nyonya Chendol ,90 Whampoa Drive,#01-17 ,Whampoa Makan Place Block 90,2
Singapore Fried Hokkien Mee ,90 Whampoa Drive,#01-32 ,Whampoa Makan Place Block 90,36
Hi Leskmi Nasi Lemak ,90 Whampoa Drive,#01-24 ,Whampoa Makan Place Block 90,18
Liang Zhao Ji Duck Porridge Duck Rice ,90 Whampoa Drive,#01-07 ,Whampoa Makan Place Block 90,13
Zhong Guo La Mian Xiao Long Bao ,90 Whampoa Drive,#01-28 ,Whampoa Makan Place Block 90,27
Tiong Bahru Lor Mee ,30 Seng Poh Road,#02-80 ,Tiong Bahru Market,21
Zhong Yu Yuan Wei Wanton Noodle ,30 Seng Poh Road,#02-30 ,Tiong Bahru Market,21
Tiong Bahru Bak Chor Mee ,30 Seng Poh Road,#02-77 ,Tiong Bahru Market,12
HarriAnns Delights ,30 Seng Poh Road,#02-25 ,Tiong Bahru Market,6
Tiong Bahru Teochew Kueh ,30 Seng Poh Road,#02-02 ,Tiong Bahru Market,4
Ru Yi Vegetarian Food ,30 Seng Poh Road,#02-26 ,Tiong Bahru Market,3
Granny's Pancake ,30 Seng Poh Road,#02-71 ,Tiong Bahru Market,12
Tiong Bahru Lee Hong Kee Cantonese Roasted ,30 Seng Poh Road,#02-60 ,Tiong Bahru Market,18
Kampong Carrot Cake ,30 Seng Poh Road,#02-53 ,Tiong Bahru Market,3
Tiong Bahru Hainanese Boneless Chicken Rice ,30 Seng Poh Road,#02-82 ,Tiong Bahru Market,14
Hong Heng Fried Sotong Prawn Mee ,30 Seng Poh Road,#02-01 ,Tiong Bahru Market,21
Loo's Hainanese Curry Rice ,30 Seng Poh Road,#02-67/68 ,Tiong Bahru Market,18
Hong Seng Curry Rice ,85 Redhill Lane,#01-74 ,Redhill Lane Block 85 Food Centre,14
Fu Ming Cooked Food ,85 Redhill Lane,#01-49 ,Redhill Lane Block 85 Food Centre,13
Rong Xing La Mian Xiao Long Bao ,85 Redhill Lane,#01-77 ,Redhill Lane Block 85 Food Centre,2
Bak Kee Teochew Satay Bee Hoon ,85 Redhill Lane,#01-40 ,Redhill Lane Block 85 Food Centre,10
Redhill Porridge ,85 Redhill Lane,#01-90 ,Redhill Lane Block 85 Food Centre,4
Hua Kee Chicken Rice ,85 Redhill Lane,#01-72 ,Redhill Lane Block 85 Food Centre,3
Unkai Teppanyaki & Japanese Cuisine ,51 Old Airport Road,#01-88/89 ,Old Airport Road Food Centre,6
Hua Kee Hougang Famous Wan Ton Mee ,51 Old Airport Road,#01-02 ,Old Airport Road Food Centre,18
Holy Grill ,51 Old Airport Road,#01-27 ,Old Airport Road Food Centre,7
Toa Payoh Rojak ,51 Old Airport Road,#01-108 ,Old Airport Road Food Centre,26
Famous Old Airport Fried Oyster ,51 Old Airport Road,#01-54 ,Old Airport Road Food Centre,18
Lao Fu Zi Fried Kway Teow ,51 Old Airport Road,#01-12 ,Old Airport Road Food Centre,18
Yi Ji Fried Hokkien Prawn Mee ,51 Old Airport Road,#01-99 ,Old Airport Road Food Centre,18
Hong Ji Mian Shi Jia ,51 Old Airport Road,#01-65 ,Old Airport Road Food Centre,16
J & J Special Beef Noodle ,51 Old Airport Road,#01-162 ,Old Airport Road Food Centre,14
Ru Ji Kitchen ,51 Old Airport Road,#01-37 ,Old Airport Road Food Centre,18
Xin Mei Xiang Lor Mee ,51 Old Airport Road,#01-116 ,Old Airport Road Food Centre,6
SL II Muffin ,531A Upper Cross Street,#02-32 ,Hong Lim Market & Food Centre,18
Ah Heng Curry Chicken Bee Hoon Mee ,531A Upper Cross Street,#02-57/58 ,Hong Lim Market & Food Centre,19
Cantonese Delights ,531A Upper Cross Street,#02-03 ,Hong Lim Market & Food Centre,18
Tang Kay Kee Fish Head Bee Hoon ,531A Upper Cross Street,#01-70 ,Hong Lim Market & Food Centre,15
Eddy's ,531A Upper Cross Street,#02-13 ,Hong Lim Market & Food Centre,11
Ji Ji Wanton Noodle Specialist ,531A Upper Cross Street,#02-48/49/50 ,Hong Lim Market & Food Centre,18
Outram Park Fried Kway Teow Mee ,531A Upper Cross Street,#02-17 ,Hong Lim Market & Food Centre,18
Tai Wah Pork Noodle ,531A Upper Cross Street,#02-16 ,Hong Lim Market & Food Centre,18
Coffee Break ,531A Upper Cross Street,#02-41 ,Hong Lim Market & Food Centre,36
New Lucky Claypot Rice ,44 Holland Drive,#02-19 ,Holland Drive Market & Food Centre,18
Ru Ji Kitchen ,44 Holland Drive,#02-28 ,Holland Drive Market & Food Centre,18
Hakka Noodle ,44 Holland Drive,#02-15 ,Holland Drive Market & Food Centre,6
Rojak Line ,44 Holland Drive,#02-13 ,Holland Drive Market & Food Centre,2
Da Chang Jin Handmade Chee Cheong Fun ,44 Holland Drive,#02-33 ,Holland Drive Market & Food Centre,20
